job_plan_code,user_code_hash,trust_level_code,parent_trust_level_code,department,specialty,planning_year,plan_stage,currentStageOrdinal,daysInCurrentStage,pAsPerWeek,paidPA,minsPerWeek,ntPerPA,workType,doctorClassification,isSignedUpToNewContract,isAnnualised,uses5thWeekPerQuarter,hasTeamPlanLink,totalPAs,dccPAs,spaPAs,cpPAs,otherPAs,isOnCall,isShift,isCPD,priorTotalPAs,priorDccPAs,priorSpaPAs,yearsSinceLastPlan,peerMedianSpaShare,peerMedianDccShare,peerGroupSize,paLimitBreach,spaAbovePeerThreshold,missingTeamPlanLink,teamPlanAlignmentScore,teamDemandPAs,teamPlannedCapacityPAs,historyChangeCount,hasMediationOrAppeal,hasNewManagerChanges,planReturnedToDiscussionAfterSignoff,isLocum,gradeCode,isConsultant
JP-2022-000001,E0B9DB6CE88DF820,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2022,Discussion,2,6,9.25,9.25,2220,240,PartTime,Consultant,true,false,true,true,9.25,7.0,1.75,0.25,0.25,false,false,false,9.25,6.75,1.25,1,0.18,0.78,21,false,false,false,0.95,48.4,46.0,7,false,false,false,true,CONS,true
JP-2025-000002,A7EA73E8A7132AE4,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2025,Locked,4,69,11.5,11.5,2760,240,FullTime,Consultant,true,false,false,true,11.5,8.25,3.25,0.0,0.0,true,false,false,11.0,8.25,3.5,1,0.2,0.75,18,false,true,false,1.017,40.4,41.1,1,false,false,false,false,CONS,true
JP-2026-000003,2444E7F9B83E1F9D,TLC-ANAES,TLC-SURG,Surgery,Anaesthetics,2026,SignOff,3,60,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,8.0,1.0,0.75,0.25,false,false,false,9.5,8.0,0.75,1,0.17,0.79,10,false,false,false,0.988,51.2,50.6,4,false,false,false,false,CONS,true
JP-2025-000004,B5530E3C9A4636C5,TLC-ENT,TLC-SURG,Surgery,ENT,2025,Locked,4,84,5.5,5.5,1320,240,PartTime,Consultant,true,false,false,true,5.5,3.75,1.5,0.25,0.0,false,false,false,5.0,3.75,1.25,1,0.18,0.77,23,false,true,false,0.972,39.5,38.4,5,false,false,false,false,CONS,true
JP-2024-000005,7543CB8A31D870A6,TLC-RESP,TLC-MED,Medicine,Respiratory,2024,Locked,4,130,8.5,8.5,2040,240,PartTime,Consultant,true,false,false,true,8.5,5.75,2.25,0.0,0.5,false,false,false,8.25,5.5,2.5,2,0.2,0.75,34,false,false,false,1.027,41.4,42.5,17,false,false,false,false,CONS,true
JP-2024-000006,EA23EC2A8D8EA5F4,TLC-RESP,TLC-MED,Medicine,Respiratory,2024,Discussion,2,43,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,7.25,1.75,0.5,0.5,false,false,true,10.0,7.25,1.75,1,0.2,0.75,12,false,false,false,0.981,36.9,36.2,9,false,true,false,false,CONS,true
JP-2023-000007,C6366508194F2837,TLC-RENAL,TLC-MED,Medicine,Renal,2023,Draft,1,14,9.25,9.25,2220,240,PartTime,Consultant,true,false,false,true,9.25,6.75,2.5,0.0,0.0,false,false,false,9.25,6.75,2.25,1,0.21,0.73,30,false,false,false,0.7,35.3,24.7,4,false,false,false,false,CONS,true
JP-2022-000008,26DAE193DD26A749,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2022,Discussion,2,9,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,false,11.0,7.0,3.5,0.5,0.0,true,false,false,10.5,8.0,1.75,1,0.2,0.76,11,false,true,true,0.942,52.0,49.0,0,false,false,false,false,CONS,true
JP-2025-000009,ACE1A41629DD19B9,TLC-RESP,TLC-MED,Medicine,Respiratory,2025,SignOff,3,72,10.75,10.75,2580,240,FullTime,Consultant,true,false,false,true,10.75,8.0,2.5,0.25,0.0,true,false,true,10.0,8.0,3.0,2,0.2,0.75,7,false,false,false,1.0,42.4,42.4,12,false,true,false,false,CONS,true
JP-2026-000010,960C735E221D6CA6,TLC-NEURO,TLC-MED,Medicine,Neurology,2026,Discussion,2,9,9.0,9.0,2160,240,PartTime,Consultant,false,false,false,true,9.0,5.75,2.5,0.75,0.0,true,false,true,8.5,5.75,2.5,1,0.21,0.73,15,false,false,false,0.958,30.6,29.3,4,false,false,false,false,CONS,true
