jobPlanCode,trustLevelCode,trust_level_code,department,specialty,riskScore,riskCategory,mainDrivers,mainDriversText,recommendedAction,riskInterpretation,dataConfidence,modelRiskComponent,ruleRiskComponent
JP-2026-003696,TLC-ONC,TLC-ONC,Medicine,Oncology,90.9,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,87.9
JP-2026-004762,TLC-ONC,TLC-ONC,Medicine,Oncology,88.9,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.00 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.00 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,85.0
JP-2022-003479,TLC-UROL,TLC-UROL,Surgery,Urology,86.3,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,82.0
JP-2023-004776,TLC-ENT,TLC-ENT,Surgery,ENT,85.5,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.75 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.75 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,80.9
JP-2025-004238,TLC-CARD,TLC-CARD,Medicine,Cardiology,84.3,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,79.0
JP-2023-001944,TLC-NEURO,TLC-NEURO,Medicine,Neurology,84.2,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.', 'High history change count detected (12).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan. | High history change count detected (12).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,79.0
JP-2026-001054,TLC-GENSURG,TLC-GENSURG,Surgery,General Surgery,82.9,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,77.0
JP-2026-001839,TLC-ENT,TLC-ENT,Surgery,ENT,82.6,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,77.1
JP-2023-000103,TLC-GASTRO,TLC-GASTRO,Medicine,Gastroenterology,82.5,High,"['PA limit breach detected against configured trust limits.', 'High history change count detected (14).', 'Historical mediation or appeal signal exists.']",PA limit breach detected against configured trust limits. | High history change count detected (14). | Historical mediation or appeal signal exists.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,76.5
JP-2025-003657,TLC-RENAL,TLC-RENAL,Medicine,Renal,80.8,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.00 PA compared with prior plan.', 'Team-plan alignment score is low (0.69).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.00 PA compared with prior plan. | Team-plan alignment score is low (0.69).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,74.7
JP-2024-004721,TLC-RENAL,TLC-RENAL,Medicine,Renal,80.4,High,"['PA limit breach detected against configured trust limits.', 'High history change count detected (15).', 'Historical mediation or appeal signal exists.']",PA limit breach detected against configured trust limits. | High history change count detected (15). | Historical mediation or appeal signal exists.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,74.2
JP-2025-001646,TLC-DERM,TLC-DERM,Medicine,Dermatology,79.9,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.69).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.69).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,73.2
