job_plan_code,user_code_hash,trust_level_code,parent_trust_level_code,department,specialty,planning_year,plan_stage,currentStageOrdinal,daysInCurrentStage,pAsPerWeek,paidPA,minsPerWeek,ntPerPA,workType,doctorClassification,isSignedUpToNewContract,isAnnualised,uses5thWeekPerQuarter,hasTeamPlanLink,totalPAs,dccPAs,spaPAs,cpPAs,otherPAs,isOnCall,isShift,isCPD,priorTotalPAs,priorDccPAs,priorSpaPAs,yearsSinceLastPlan,peerMedianSpaShare,peerMedianDccShare,peerGroupSize,paLimitBreach,spaAbovePeerThreshold,missingTeamPlanLink,teamPlanAlignmentScore,teamDemandPAs,teamPlannedCapacityPAs,historyChangeCount,hasMediationOrAppeal,hasNewManagerChanges,planReturnedToDiscussionAfterSignoff,isLocum,gradeCode,isConsultant
JP-1001,USR-A91,TLC-CARD,TLC-MED,Medicine,Cardiology,2026,Discussion,2,14,11.5,11.5,2760,240,FullTime,Consultant,true,false,false,true,11.5,8.0,3.0,0.2,0.3,true,false,false,11.0,8.5,2.25,1,0.22,0.74,12,false,false,false,0.89,42.0,37.5,4,false,false,false,false,CONS,true
JP-1002,USR-B22,TLC-CARD,TLC-MED,Medicine,Cardiology,2026,SignOff,3,31,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,7.5,2.0,0.3,0.2,false,false,false,10.0,7.8,1.8,1,0.22,0.74,12,false,false,false,0.95,42.0,40.0,2,false,false,false,false,CONS,true
JP-1003,USR-C43,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2026,Draft,1,5,12.0,12.0,2880,240,FullTime,Consultant,true,false,false,true,12.0,8.0,3.5,0.2,0.3,true,false,false,11.0,8.5,2.0,1,0.20,0.76,9,true,true,false,0.72,50.0,43.0,12,false,true,false,true,CONS,true
JP-1004,USR-D18,TLC-DERM,TLC-MED,Medicine,Dermatology,2026,Locked,4,55,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,false,10.0,8.0,1.5,0.3,0.2,false,false,false,10.0,8.0,1.5,1,0.18,0.78,8,false,false,true,0.86,,,1,false,false,false,false,CONS,true
JP-1005,USR-E77,TLC-CARD,TLC-MED,Medicine,Cardiology,2026,Discussion,2,19,9.5,9.5,2280,240,PartTime,Consultant,true,false,false,true,9.5,6.0,3.0,0.1,0.4,true,false,false,10.0,7.0,2.0,1,0.22,0.74,12,false,true,false,0.70,42.0,35.0,14,false,true,true,false,CONS,true
JP-1006,USR-F19,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2026,Discussion,2,9,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,7.8,2.0,0.4,0.3,false,false,false,10.5,7.9,2.0,1,0.20,0.75,11,false,false,false,0.97,38.0,37.0,3,false,false,false,false,CONS,true
JP-1007,USR-G41,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2026,SignOff,3,28,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,true,11.0,7.2,3.2,0.3,0.3,true,false,false,10.5,7.8,2.1,1,0.20,0.75,11,false,true,false,0.78,38.0,33.0,10,false,false,false,false,CONS,true
JP-1008,USR-H11,TLC-ONC,TLC-MED,Medicine,Oncology,2026,Draft,1,3,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,7.6,1.9,0.2,0.3,false,false,false,10.0,7.5,1.9,1,0.19,0.76,7,false,false,false,1.02,30.0,31.0,1,false,false,false,false,CONS,true
JP-1009,USR-I88,TLC-ONC,TLC-MED,Medicine,Oncology,2026,Discussion,2,16,13.0,13.0,3120,240,FullTime,Consultant,true,false,false,true,13.0,8.4,3.8,0.3,0.5,true,false,false,11.5,8.8,2.4,1,0.19,0.76,7,true,true,false,0.64,30.0,25.5,18,true,true,true,true,CONS,true
JP-1010,USR-J02,TLC-ENT,TLC-SURG,Surgery,ENT,2026,Locked,4,45,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,7.9,1.6,0.2,0.3,false,false,false,10.0,7.9,1.6,1,0.18,0.77,6,false,false,false,0.98,32.0,32.5,2,false,false,false,false,CONS,true
JP-1011,USR-K62,TLC-ENT,TLC-SURG,Surgery,ENT,2026,SignOff,3,25,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,6.8,3.1,0.2,0.4,true,false,false,10.0,7.5,1.8,1,0.18,0.77,6,false,true,false,0.76,32.0,28.0,11,false,false,false,false,CONS,true
JP-1012,USR-L17,TLC-NEURO,TLC-MED,Medicine,Neurology,2026,Discussion,2,22,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,false,10.0,6.9,2.6,0.2,0.3,true,false,false,10.0,7.2,2.2,1,0.21,0.73,5,false,false,true,0.82,,,5,false,false,false,false,CONS,true
